Season,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
11-12,Winnipeg Jets,26.2,82,37,35,10,84,0.512,221,242,4,4,-0.3,-0.04,5.65,173,176,45,251,17.93,58,292,80.14,3,8,11,9.7,2471,8.9,2470,0.902,6
10-11,Anaheim Ducks*,28.9,82,47,30,5,99,0.604,235,233,4,2,0.09,0.05,5.71,161,169,67,285,23.51,57,305,81.31,7,7,14.4,13.4,2334,10.1,2648,0.912,7
10-11,Atlanta Thrashers,26.1,82,34,36,12,80,0.488,218,262,5,7,-0.57,-0.01,5.85,159,189,53,289,18.34,64,285,77.54,6,10,11.3,10.7,2581,8.4,2638,0.901,5
10-11,Boston Bruins*,28.3,82,46,25,11,103,0.628,244,189,2,6,0.56,-0.07,5.28,190,138,43,266,16.17,46,265,82.64,11,5,13.6,13.8,2696,9.1,2682,0.93,11
10-11,Buffalo Sabres*,27.5,82,43,29,10,96,0.585,240,228,5,1,0.15,-0.04,5.71,184,164,54,279,19.35,51,300,83,2,13,11.7,11.4,2690,8.9,2514,0.909,6
10-11,Calgary Flames,30,82,41,29,12,94,0.573,241,230,9,7,0.14,-0.02,5.74,172,168,62,318,19.5,53,282,81.21,7,9,10.2,11.2,2501,9.6,2338,0.902,6
10-11,Carolina Hurricanes,26.6,82,40,31,11,91,0.555,231,234,5,5,-0.08,-0.04,5.67,169,177,55,346,15.9,51,272,81.25,7,6,10.2,12.8,2517,9.2,2725,0.914,4
10-11,Chicago Blackhawks*,26.7,82,44,29,9,97,0.591,252,220,6,5,0.41,0.01,5.76,182,163,64,277,23.1,53,255,79.22,6,4,9,9.5,2637,9.6,2354,0.907,5
10-11,Colorado Avalanche,25.9,82,30,44,8,68,0.415,221,287,6,1,-0.7,0.05,6.2,164,201,49,265,18.49,75,314,76.11,8,11,13.1,11.6,2394,9.2,2609,0.89,1
10-11,Columbus Blue Jackets,26.8,82,34,35,13,81,0.494,210,250,5,8,-0.45,0.08,5.61,162,177,42,301,13.95,62,314,80.25,6,11,13.6,13.8,2506,8.4,2447,0.898,6
10-11,Dallas Stars,28,82,42,29,11,95,0.579,222,226,5,7,-0.02,0.05,5.46,157,156,55,306,17.97,55,277,80.14,10,15,13,13.8,2269,9.8,2504,0.91,5
10-11,Detroit Red Wings*,30.7,82,47,25,10,104,0.634,257,237,4,4,0.27,0.03,6.02,185,177,67,301,22.26,53,300,82.33,5,7,9.1,9.5,2757,9.3,2514,0.906,3
10-11,Edmonton Oilers,26.2,82,25,45,12,62,0.378,191,260,2,9,-0.87,0.06,5.5,139,184,44,304,14.47,74,321,76.95,8,2,15.5,14.5,2188,8.7,2597,0.9,4
10-11,Florida Panthers,28.3,82,30,40,12,72,0.439,191,222,4,7,-0.43,-0.01,5.04,152,176,35,267,13.11,41,267,84.64,4,5,8.7,9.1,2493,7.7,2609,0.915,7
10-11,Los Angeles Kings*,26.3,82,46,30,6,98,0.598,209,196,10,2,0.29,0.03,4.94,158,150,47,291,16.15,40,276,85.51,4,6,11.7,11.8,2363,8.8,2288,0.914,9
10-11,Minnesota Wild,28.9,82,39,35,8,86,0.524,203,228,3,5,-0.3,0.03,5.26,143,168,53,292,18.15,53,309,82.85,7,7,12,12.1,2148,9.5,2625,0.913,5
10-11,Montreal Canadiens*,27.6,82,44,30,8,96,0.585,213,206,3,3,0.05,-0.04,5.11,151,149,57,290,19.66,51,327,84.4,5,6,13.3,12.9,2602,8.2,2537,0.919,8
10-11,Nashville Predators*,26.7,82,44,27,11,99,0.604,213,190,6,4,0.31,0.01,4.91,167,147,41,269,15.24,41,272,84.93,5,2,8.8,8.5,2361,9,2510,0.924,8
10-11,New Jersey Devils,29.9,82,38,39,5,81,0.494,171,207,3,2,-0.41,0.02,4.61,134,159,34,237,14.35,40,241,83.4,3,8,9.3,9.6,2344,7.3,2152,0.904,9
10-11,New York Islanders,26.2,82,30,39,13,73,0.445,225,258,4,6,-0.42,0.01,5.89,158,199,52,302,17.22,52,310,83.23,15,7,18.5,16.2,2408,9.3,2620,0.902,2
10-11,New York Rangers*,26.2,82,44,33,5,93,0.567,224,195,9,3,0.37,-0.06,5.11,164,148,49,290,16.9,42,257,83.66,11,5,13.1,14.6,2453,9.1,2410,0.919,11
10-11,Ottawa Senators,28.1,82,32,40,10,74,0.451,190,245,2,5,-0.69,0.02,5.3,139,193,45,257,17.51,48,295,83.73,6,4,14,11.8,2381,8,2559,0.904,5
10-11,Philadelphia Flyers*,27.6,82,47,23,12,106,0.646,256,216,3,7,0.4,-0.04,5.76,194,157,49,295,16.61,54,313,82.75,13,5,13.6,13.3,2605,9.8,2471,0.913,0
10-11,Phoenix Coyotes*,29,82,43,26,13,99,0.604,226,220,5,6,0.11,0.05,5.44,175,150,46,289,15.92,64,296,78.38,5,6,10.5,10.1,2486,9.1,2673,0.918,9
10-11,Pittsburgh Penguins*,27.4,82,49,25,8,106,0.646,228,196,10,3,0.43,-0.05,5.17,166,145,49,311,15.76,45,324,86.11,13,6,16.9,16.5,2581,8.8,2352,0.917,5
10-11,San Jose Sharks*,27.9,82,48,25,9,105,0.64,243,208,5,5,0.44,0.02,5.5,169,145,68,290,23.45,56,273,79.49,6,7,11.3,12,2832,8.6,2368,0.912,6
10-11,St. Louis Blues,25.7,82,38,33,11,87,0.53,236,228,4,6,0.11,0.04,5.66,177,176,52,279,18.64,51,279,81.72,7,1,14.9,15.5,2475,9.5,2274,0.9,10
10-11,Tampa Bay Lightning*,29,82,46,25,11,103,0.628,241,234,6,6,0.04,-0.05,5.79,171,169,69,336,20.54,49,302,83.77,1,16,11,11.6,2605,9.3,2354,0.901,7
10-11,Toronto Maple Leafs,25.7,82,37,34,11,85,0.518,213,245,5,6,-0.41,0,5.59,156,175,52,326,15.95,62,275,77.45,5,8,12,13.7,2360,9,2540,0.904,3
10-11,Vancouver Canucks*,28.1,82,54,19,9,117,0.713,258,180,4,5,0.87,-0.07,5.34,180,133,72,296,24.32,45,312,85.58,6,2,11.5,11.2,2624,9.8,2470,0.927,5
10-11,Washington Capitals*,25.9,82,48,23,11,107,0.652,219,191,5,6,0.27,-0.06,5,166,143,46,263,17.49,43,299,85.62,7,5,11.3,10.6,2566,8.5,2375,0.92,8
09-10,Anaheim Ducks,27.9,82,39,32,11,89,0.543,233,243,5,8,-0.07,0.09,5.8,162,167,63,300,21,67,323,79.26,8,9,16.1,15.8,2472,9.4,2736,0.911,3
09-10,Atlanta Thrashers,27.5,82,35,34,13,83,0.506,230,250,4,6,-0.33,-0.06,5.85,170,189,51,316,16.14,57,320,82.19,9,4,12.8,13,2409,9.5,2716,0.908,5
09-10,Boston Bruins*,28.1,82,39,30,13,91,0.555,196,191,10,9,0.01,-0.06,4.72,146,150,44,265,16.6,37,272,86.4,6,3,11.6,11.6,2599,7.5,2444,0.922,10
09-10,Buffalo Sabres*,27.8,82,45,27,10,100,0.61,231,201,4,6,0.26,-0.08,5.27,172,160,55,313,17.57,38,284,86.62,4,3,11.2,11.7,2588,8.9,2573,0.922,5
09-10,Calgary Flames,28.8,82,40,32,10,90,0.549,201,203,3,7,-0.03,0.04,4.93,150,147,43,268,16.04,54,305,82.3,7,1,13.9,13.2,2350,8.6,2372,0.914,4
09-10,Carolina Hurricanes,28.9,82,35,37,10,80,0.488,226,251,4,5,-0.37,-0.05,5.82,163,181,56,329,17.02,62,320,80.63,7,8,11.8,11.8,2402,9.4,2574,0.902,1
09-10,Chicago Blackhawks*,26.6,82,52,22,8,112,0.683,262,203,9,6,0.77,0.02,5.67,197,159,52,294,17.69,40,266,84.96,13,4,11.3,11.7,2798,9.4,2058,0.901,11
09-10,Colorado Avalanche*,26.4,82,43,30,9,95,0.579,237,228,7,5,0.16,0.02,5.67,173,159,56,310,18.06,60,303,80.2,8,9,12.5,13.5,2287,10.4,2629,0.913,8
09-10,Columbus Blue Jackets,26.1,82,32,35,15,79,0.482,214,249,2,10,-0.42,0.11,5.65,152,179,56,308,18.18,61,334,81.74,6,8,13.2,12.6,2338,9.2,2514,0.901,7
09-10,Dallas Stars,28.3,82,37,31,14,88,0.537,230,244,7,10,-0.12,0.09,5.78,160,171,61,328,18.6,65,288,77.43,8,8,11.7,12.7,2523,9.1,2559,0.905,4
09-10,Detroit Red Wings*,30.3,82,44,24,14,102,0.622,223,207,6,9,0.23,0.07,5.24,156,163,59,307,19.22,43,267,83.9,8,1,8.8,9.9,2737,8.1,2413,0.914,4
09-10,Edmonton Oilers,27.1,82,27,47,8,62,0.378,206,278,8,6,-0.76,0.09,5.9,148,206,52,301,17.28,67,305,78.03,6,5,13.8,13.5,2321,8.9,2716,0.898,3
09-10,Florida Panthers,28.1,82,32,37,13,77,0.47,202,234,6,10,-0.47,-0.03,5.32,151,167,44,309,14.24,59,286,79.37,7,8,11.9,12.8,2331,8.7,2800,0.916,8
09-10,Los Angeles Kings*,26.2,82,46,27,9,101,0.616,231,211,10,8,0.32,0.05,5.39,163,145,64,307,20.85,60,304,80.26,4,6,11.9,12.5,2389,9.7,2260,0.907,5
09-10,Minnesota Wild,28.6,82,38,36,8,84,0.512,214,239,5,7,-0.26,0.07,5.52,151,173,59,309,19.09,53,306,82.68,3,13,11.3,11.2,2266,9.4,2415,0.901,3
09-10,Montreal Canadiens*,27.5,82,39,33,10,88,0.537,210,218,7,5,-0.14,-0.07,5.22,149,157,57,261,21.84,53,311,82.96,3,8,11.4,11.3,2345,9,2634,0.917,5
09-10,Nashville Predators*,27.6,82,47,29,6,100,0.61,217,221,8,4,0.06,0.06,5.34,165,156,47,286,16.43,59,258,77.13,5,5,8.7,9.9,2508,8.7,2396,0.908,8
09-10,New Jersey Devils*,30.5,82,48,27,7,103,0.628,216,186,6,5,0.31,-0.07,4.9,158,140,51,272,18.75,41,240,82.92,7,5,10.5,11.4,2459,8.8,2213,0.916,9
09-10,New York Islanders,28.3,82,34,37,11,79,0.482,214,258,8,6,-0.53,-0.02,5.76,158,184,49,306,16.01,71,300,76.33,7,3,11.6,12.2,2493,8.6,2619,0.901,3
09-10,New York Rangers,26.8,82,38,33,11,87,0.53,219,214,3,4,0,-0.05,5.28,159,158,55,301,18.27,50,318,84.28,5,6,14.1,13.2,2425,9,2450,0.913,5
09-10,Ottawa Senators*,27.9,82,44,32,6,94,0.573,220,233,5,5,-0.22,-0.06,5.52,165,179,49,290,16.9,50,318,84.28,5,4,13.9,13.2,2436,9,2340,0.9,6
09-10,Philadelphia Flyers*,27.7,82,41,35,6,88,0.537,232,222,4,3,0.08,-0.06,5.54,158,157,68,318,21.38,57,334,82.93,5,7,16.6,15.3,2589,9,2346,0.905,5
09-10,Phoenix Coyotes*,28.2,82,50,25,7,107,0.652,211,196,14,6,0.34,0.06,4.96,162,141,46,314,14.65,49,317,84.54,3,6,11.3,10.8,2502,8.4,2427,0.919,8
09-10,Pittsburgh Penguins*,27.8,82,47,28,7,101,0.616,249,235,8,2,0.17,-0.07,5.9,186,175,56,326,17.18,52,327,84.1,7,8,14.6,14.7,2688,9.3,2350,0.9,1
09-10,San Jose Sharks*,29.3,82,51,20,11,113,0.689,257,209,7,6,0.65,0.05,5.68,184,151,65,309,21.04,49,324,84.88,8,9,14.1,13.1,2602,9.9,2571,0.919,3
09-10,St. Louis Blues,27.9,82,40,32,10,90,0.549,218,218,7,5,0.08,0.06,5.32,159,167,53,308,17.21,45,342,86.84,6,6,16.1,15.8,2445,8.9,2473,0.912,6
09-10,Tampa Bay Lightning,27,82,34,36,12,80,0.488,213,253,4,7,-0.56,-0.03,5.68,148,180,63,326,19.33,67,336,80.06,2,6,16.8,16,2367,9,2575,0.902,3
09-10,Toronto Maple Leafs,27,82,30,38,14,74,0.451,210,263,4,4,-0.68,-0.03,5.77,162,183,44,315,13.97,73,288,74.65,4,6,13.3,13.5,2671,7.9,2440,0.892,5
09-10,Vancouver Canucks*,28.1,82,49,28,5,103,0.628,268,218,4,4,0.6,-0.01,5.93,191,155,68,323,21.05,59,320,81.56,8,6,15.5,15.1,2534,10.6,2419,0.91,5
09-10,Washington Capitals*,27.2,82,54,15,13,121,0.738,313,227,5,6,0.9,-0.14,6.59,230,152,79,313,25.24,67,316,78.8,4,8,11.6,11.2,2693,11.6,2535,0.91,3
08-09,Anaheim Ducks*,29.2,82,42,33,7,91,0.555,238,235,7,3,0.09,0,5.77,159,149,73,309,23.62,78,385,79.74,6,8,17.4,15.4,2481,9.6,2499,0.906,6
08-09,Atlanta Thrashers,27.9,82,35,41,6,76,0.463,250,279,7,1,-0.3,-0.02,6.45,168,181,69,357,19.33,88,366,75.96,13,10,15.3,14.6,2306,10.8,2683,0.896,3
08-09,Boston Bruins*,28.4,82,53,19,10,116,0.707,270,190,4,6,0.89,-0.06,5.61,188,129,74,313,23.64,54,306,82.35,8,7,12.5,12.8,2482,10.9,2524,0.925,7
08-09,Buffalo Sabres,28.1,82,41,32,9,91,0.555,242,229,8,5,0.18,-0.02,5.74,160,163,75,358,20.95,61,336,81.85,7,5,13.7,14.6,2505,9.7,2575,0.911,5
08-09,Calgary Flames*,28.9,82,46,30,6,98,0.598,251,246,3,2,0.07,0,6.06,184,173,61,358,17.04,58,349,83.38,6,15,15.8,15.6,2643,9.5,2441,0.899,4
08-09,Carolina Hurricanes*,27.9,82,45,30,7,97,0.591,236,221,3,5,0.11,-0.05,5.57,158,153,70,374,18.72,59,301,80.4,8,9,9.8,12.5,2675,8.8,2419,0.909,6
08-09,Chicago Blackhawks*,25.9,82,46,24,12,104,0.634,260,209,4,7,0.6,0.01,5.72,180,139,70,363,19.28,64,330,80.61,10,6,14.1,15.2,2683,9.7,2344,0.911,6
08-09,Colorado Avalanche,28.6,82,32,45,5,69,0.421,190,253,9,4,-0.66,0.05,5.4,136,181,50,318,15.72,64,318,79.87,4,8,13,12.6,2359,8.1,2376,0.894,2
08-09,Columbus Blue Jackets*,25.8,82,41,31,10,92,0.561,220,223,6,7,-0.01,0.04,5.4,171,149,41,322,12.73,62,346,82.08,8,12,15,14.1,2370,9.3,2281,0.902,11
08-09,Dallas Stars,28.5,82,36,35,11,83,0.506,224,251,6,6,-0.3,0.03,5.79,168,177,54,351,15.38,70,327,78.59,2,4,14,15,2369,9.5,2303,0.891,3
08-09,Detroit Red Wings*,31.2,82,51,21,10,112,0.683,289,240,6,4,0.62,0,6.45,193,165,90,353,25.5,71,327,78.29,6,4,10,10.9,2965,9.7,2274,0.894,8
08-09,Edmonton Oilers,28.8,82,38,35,9,85,0.518,228,244,6,4,-0.16,0.01,5.76,165,160,60,354,16.95,76,338,77.51,3,8,15.2,15.4,2303,9.9,2668,0.909,1
08-09,Florida Panthers,28.6,82,41,30,11,93,0.567,231,223,3,8,0,-0.04,5.54,173,160,51,308,16.56,54,311,82.64,7,9,11,11.3,2411,9.6,2843,0.922,9
08-09,Los Angeles Kings,25.5,82,34,37,11,79,0.482,202,226,5,8,-0.29,0.04,5.22,129,156,69,360,19.17,62,361,82.83,4,8,14.7,13.7,2383,8.5,2301,0.902,6
08-09,Minnesota Wild,27.7,82,40,33,9,89,0.543,214,197,5,3,0.22,-0.02,5.01,139,155,66,328,20.12,36,291,87.63,9,6,10.8,11.7,2257,9.5,2518,0.922,8
08-09,Montreal Canadiens*,27.6,82,41,30,11,93,0.567,242,240,7,7,0.02,-0.01,5.88,160,164,72,374,19.25,65,370,82.43,10,11,15,15.8,2461,9.8,2600,0.908,2
08-09,Nashville Predators,27.6,82,40,34,8,88,0.537,207,228,6,5,-0.19,0.06,5.3,148,161,50,318,15.72,59,338,82.54,9,8,12.1,11.8,2375,8.7,2411,0.905,10
08-09,New Jersey Devils*,30.3,82,51,27,4,106,0.646,238,207,6,2,0.38,-0.05,5.43,168,138,58,307,18.89,65,324,79.94,12,4,12.9,13.1,2698,8.8,2415,0.914,7
08-09,New York Islanders,27.7,82,26,47,9,61,0.372,198,274,3,5,-0.91,0.05,5.76,132,196,54,320,16.88,73,361,79.78,12,5,14.8,13.1,2372,8.3,2751,0.9,3
08-09,New York Rangers*,27,82,43,30,9,95,0.579,200,212,10,6,-0.1,-0.01,5.02,143,158,48,346,13.87,40,329,87.84,9,14,14.6,14.9,2658,7.5,2433,0.913,4
08-09,Ottawa Senators,27.9,82,36,35,11,83,0.506,213,231,4,6,-0.23,0.01,5.41,139,162,66,339,19.47,64,346,81.5,8,5,13.4,13.1,2405,8.9,2336,0.901,3
08-09,Philadelphia Flyers*,27,82,44,27,11,99,0.604,260,232,4,6,0.28,-0.04,6,173,164,71,316,22.47,67,393,82.95,16,1,17.5,14.8,2441,10.7,2668,0.913,3
08-09,Phoenix Coyotes,26.6,82,36,39,7,79,0.482,205,249,3,3,-0.5,0.04,5.54,150,177,50,341,14.66,68,293,76.79,5,4,13.3,15,2302,8.9,2591,0.904,4
08-09,Pittsburgh Penguins*,26.6,82,45,28,9,99,0.604,258,233,6,6,0.28,-0.02,5.99,189,160,62,360,17.22,60,347,82.71,7,13,13.6,14.2,2381,10.8,2484,0.906,4
08-09,San Jose Sharks*,28.7,82,53,18,11,117,0.713,251,199,6,5,0.61,-0.04,5.49,152,137,87,360,24.17,51,304,83.22,12,11,12.8,14.1,2720,9.2,2228,0.911,9
08-09,St. Louis Blues*,27.1,82,41,31,10,92,0.561,227,227,6,6,0.05,0.05,5.54,145,161,72,351,20.51,58,357,83.75,10,8,15.2,15.4,2271,10,2341,0.903,7
08-09,Tampa Bay Lightning,27.4,82,24,40,18,66,0.402,207,269,3,10,-0.81,0.03,5.8,142,171,61,343,17.78,89,405,78.02,4,9,15.9,13.4,2337,8.9,2701,0.9,3
08-09,Toronto Maple Leafs,28,82,34,35,13,81,0.494,244,286,6,7,-0.49,0.03,6.46,176,201,62,330,18.79,78,308,74.68,6,7,13.7,14.4,2603,9.4,2480,0.885,1
08-09,Vancouver Canucks*,27.9,82,45,27,10,100,0.61,243,213,3,7,0.3,-0.02,5.56,169,139,67,357,18.77,69,371,81.4,7,5,16.5,16.3,2335,10.4,2392,0.911,10
08-09,Washington Capitals*,27.2,82,50,24,8,108,0.659,268,240,4,5,0.27,-0.06,6.2,176,154,85,337,25.22,75,387,80.62,7,11,12.7,11.4,2747,9.8,2418,0.901,2
07-08,Anaheim Ducks*,29.7,82,47,27,8,102,0.622,197,184,8,7,0.3,0.13,4.65,129,108,60,361,16.62,69,408,83.09,8,7,18.1,16.9,2241,8.8,2299,0.92,4
07-08,Atlanta Thrashers,29.3,82,34,40,8,76,0.463,207,266,9,6,-0.8,-0.12,5.77,142,181,52,316,16.46,75,354,78.81,13,10,13.1,11.4,2115,9.8,2782,0.904,5
07-08,Boston Bruins*,28.1,82,41,29,12,94,0.573,206,215,6,7,-0.2,-0.08,5.13,141,138,56,319,17.55,71,332,78.61,9,6,13,12.9,2339,8.8,2495,0.914,6
07-08,Buffalo Sabres,26.8,82,39,31,12,90,0.549,251,233,4,9,0.05,-0.11,5.9,176,168,66,366,18.03,56,333,83.18,9,8,12.2,13.5,2478,10.1,2326,0.9,5
07-08,Calgary Flames*,29.5,82,42,30,10,94,0.573,226,224,3,3,0.13,0.1,5.49,158,144,59,352,16.76,72,389,81.49,9,8,16.4,15.3,2316,9.8,2335,0.904,2
07-08,Carolina Hurricanes,29.3,82,43,33,6,92,0.561,250,246,2,3,-0.15,-0.18,6.05,167,158,79,420,18.81,75,355,78.87,4,13,14.4,16.6,2669,9.4,2368,0.896,4
07-08,Chicago Blackhawks,26.8,82,40,34,8,88,0.537,234,231,5,4,0.16,0.12,5.67,159,156,58,365,15.89,69,385,82.08,17,6,16.8,16.1,2298,10.2,2346,0.902,4
07-08,Colorado Avalanche*,28.5,82,44,31,7,95,0.579,224,216,7,3,0.24,0.09,5.37,173,155,49,335,14.63,56,301,81.4,2,5,12.1,12.9,2349,9.5,2237,0.903,3
07-08,Columbus Blue Jackets,27.2,82,34,36,12,80,0.488,190,210,3,8,-0.16,0.15,4.88,129,142,53,356,14.89,63,378,83.33,8,5,16.2,15.2,2381,8,2249,0.907,11
07-08,Dallas Stars*,29,82,45,30,7,97,0.591,237,204,5,3,0.54,0.11,5.38,160,145,64,354,18.08,51,354,85.59,13,8,14.3,14.6,2187,10.8,2137,0.905,5
07-08,Detroit Red Wings*,32.1,82,54,21,7,115,0.701,252,179,5,5,0.93,0.04,5.26,166,115,81,391,20.72,57,357,84.03,5,7,11.4,12.7,2820,8.9,1930,0.907,9
07-08,Edmonton Oilers,27.1,82,41,35,6,88,0.537,220,247,15,4,-0.07,0.12,5.7,156,181,57,344,16.57,56,366,84.7,7,10,14.3,13.8,2156,10.2,2573,0.904,4
07-08,Florida Panthers,28.1,82,38,35,9,85,0.518,211,220,5,6,-0.29,-0.17,5.26,147,151,60,313,19.17,66,374,82.35,4,3,12.5,11.8,2549,8.3,2752,0.92,6
07-08,Los Angeles Kings,27.7,82,32,43,7,71,0.433,226,263,5,3,-0.24,0.19,5.96,151,191,64,367,17.44,68,309,77.99,11,4,11.6,12.7,2349,9.6,2625,0.9,3
07-08,Minnesota Wild*,27.7,82,44,28,10,98,0.598,220,210,3,8,0.16,0.1,5.24,153,151,64,338,18.93,49,330,85.15,3,10,13.4,14.1,2218,9.9,2469,0.915,5
07-08,Montreal Canadiens*,27.6,82,47,25,10,104,0.634,257,216,5,6,0.35,-0.14,5.77,159,151,90,374,24.06,60,342,82.46,8,3,13.3,14.1,2382,10.8,2589,0.917,6
07-08,Nashville Predators*,28.1,82,41,32,9,91,0.555,227,224,3,5,0.13,0.12,5.5,167,165,53,358,14.8,49,335,85.37,7,10,12.5,13.4,2425,9.4,2440,0.908,10
07-08,New Jersey Devils*,29.2,82,46,29,7,99,0.604,198,193,8,4,0,-0.11,4.77,142,133,50,320,15.63,54,314,82.8,6,7,11.9,12,2362,8.4,2257,0.914,4
07-08,New York Islanders,28.3,82,35,38,9,79,0.482,189,240,5,3,-0.65,-0.05,5.23,131,157,48,330,14.55,68,375,81.87,10,15,12.7,11.7,2431,7.8,2488,0.904,3
07-08,New York Rangers*,27.4,82,42,27,13,97,0.591,205,190,8,9,0.05,-0.12,4.82,140,130,61,370,16.49,53,343,84.55,4,6,14.1,14.3,2579,7.9,2124,0.911,12
07-08,Ottawa Senators*,28.5,82,43,31,8,94,0.573,258,242,3,5,0.06,-0.11,6.1,180,164,60,328,18.29,72,380,81.05,18,6,14.3,13.3,2471,10.4,2456,0.901,3
07-08,Philadelphia Flyers*,28.1,82,42,29,11,95,0.579,245,227,3,6,0.06,-0.12,5.76,148,156,84,385,21.82,65,388,83.25,13,6,17.9,17.3,2358,10.4,2609,0.913,6
07-08,Phoenix Coyotes,26.5,82,38,37,7,83,0.506,209,225,5,6,-0.04,0.17,5.29,135,149,63,339,18.58,64,332,80.72,11,12,14.5,13.6,2500,8.4,2518,0.911,6
07-08,Pittsburgh Penguins*,26.9,82,47,27,8,102,0.622,240,212,7,4,0.24,-0.14,5.51,157,134,77,378,20.37,68,357,80.95,6,10,14.4,15.1,2268,10.6,2523,0.916,8
07-08,San Jose Sharks*,27.7,82,49,23,10,108,0.659,216,187,6,6,0.47,0.12,4.91,139,134,70,374,18.72,44,310,85.81,7,9,13.1,15.7,2428,8.9,1981,0.906,7
07-08,St. Louis Blues,28.4,82,33,36,13,79,0.482,202,232,3,5,-0.24,0.16,5.29,152,163,47,334,14.07,56,359,84.4,3,13,14.1,13.6,2141,9.4,2249,0.897,5
07-08,Tampa Bay Lightning,27.9,82,31,42,9,71,0.433,221,266,2,1,-0.67,-0.13,5.94,157,203,57,296,19.26,56,312,82.05,7,7,12.7,11,2354,9.4,2311,0.885,3
07-08,Toronto Maple Leafs,28.4,82,36,35,11,83,0.506,228,256,3,4,-0.42,-0.06,5.9,163,169,61,343,17.78,77,352,78.13,4,10,13.3,12.4,2542,9,2402,0.893,4
07-08,Vancouver Canucks,28.1,82,39,33,10,88,0.537,207,206,6,9,0.08,0.11,5.04,136,135,63,369,17.07,64,368,82.61,8,7,18,18.6,2252,9.2,2367,0.913,6
07-08,Washington Capitals*,27.3,82,43,31,8,94,0.573,238,227,4,4,-0.06,-0.19,5.67,168,151,65,346,18.79,68,349,80.52,5,8,11.9,11.9,2538,9.4,2259,0.9,3
