Name,Team,Season,GP,TOI,GF%,SF%,FF%,CF%,xGF%,GF/60,GA/60,SF/60,SA/60,FF/60,FA/60,CF/60,CA/60,xGF/60,xGA/60,G±/60,S±/60,G±/60,F±/60,xG±/60,Sh%,Sv%
Capitals,WSH,10-11,81,3957.87,52.54,51.55,51.21,51.31,51.83,2.27,2.05,29.77,27.98,41.15,39.2,57.16,54.24,2.33,2.17,0.22,1.8,1.95,2.92,0.16,7.61,92.69
Ducks,ANA,09-10,82,3939.43,50.41,47.45,47.07,47.71,46.54,2.3,2.26,28.7,31.78,39.68,44.63,50.87,55.74,2.22,2.55,0.04,-3.09,-4.94,-4.87,-0.33,8.02,92.88
Coyotes,ARI,09-10,82,3934.4,53.67,52.15,51.7,52.18,51.46,2.32,2,30.52,28,42.57,39.77,55.75,51.1,2.24,2.11,0.32,2.52,2.8,4.65,0.13,7.6,92.85
Thrashers,ATL,09-10,82,3856.9,47.52,46.75,47.19,47.81,46.16,2.52,2.79,28.67,32.65,38.61,43.21,51.7,56.43,2.29,2.67,-0.26,-3.98,-4.6,-4.74,-0.38,8.8,91.47
Bruins,BOS,09-10,82,4093.75,48.95,52.02,52.63,52.9,52.08,2.03,2.12,30.89,28.49,42.15,37.94,56.13,49.97,2.18,2.01,-0.09,2.4,4.22,6.16,0.17,6.57,92.58
Sabres,BUF,09-10,82,3943.72,51.45,50.83,50.34,50.64,49.38,2.45,2.31,31.5,30.48,42.33,41.76,55.22,53.84,2.29,2.34,0.14,1.03,0.57,1.39,-0.06,7.77,92.42
Hurricanes,CAR,09-10,81,3835.8,47.68,47.93,47.51,48.53,46.35,2.3,2.52,28.35,30.8,40.02,44.21,54.83,58.15,2.4,2.78,-0.22,-2.45,-4.2,-3.31,-0.38,8.1,91.82
Blue Jackets,CBJ,09-10,81,3872.03,44.17,47.96,46.99,47.08,47.36,2.11,2.66,27.33,29.65,35.82,40.42,46.62,52.41,1.95,2.17,-0.56,-2.32,-4.59,-5.79,-0.22,7.7,91.03
Flames,CGY,09-10,82,3953.78,50.08,50.64,51.28,52.24,50.76,2.13,2.12,28.3,27.58,40.69,38.65,55.51,50.74,2.06,2,0.01,0.72,2.03,4.77,0.06,7.51,92.32
Blackhawks,CHI,09-10,82,4060.47,56.04,59.17,59.13,58.04,57.76,2.86,2.24,34.11,23.54,46.07,31.84,60.43,43.68,2.63,1.92,0.62,10.57,14.23,16.75,0.71,8.39,90.47
Avalanche,COL,09-10,82,3944.65,51.24,46.62,46.22,45.05,48.42,2.41,2.29,27,30.92,36.37,42.32,46.9,57.22,2.15,2.29,0.12,-3.92,-5.95,-10.32,-0.14,8.91,92.59
Stars,DAL,09-10,81,3938.92,48.25,48.5,47.79,47.76,48.82,2.24,2.4,28.66,30.44,39.61,43.28,52.05,56.93,2.11,2.21,-0.16,-1.77,-3.67,-4.88,-0.1,7.81,92.11
Red Wings,DET,09-10,82,4021.8,48.04,52.41,53.19,53.92,52.36,2.17,2.35,31.82,28.89,44.42,39.09,58.19,49.73,2.37,2.16,-0.18,2.93,5.33,8.46,0.21,6.82,91.88
Oilers,EDM,09-10,82,3969.32,42.45,45.56,44.76,44.14,45.34,2.16,2.93,27.52,32.88,38.07,46.99,49.8,63.03,2.2,2.65,-0.77,-5.36,-8.92,-13.23,-0.45,7.86,91.08
Panthers,FLA,09-10,82,3982.08,48.49,44.88,45.57,44.44,45.61,2.14,2.27,27.34,33.59,38.03,45.43,49.81,62.26,2.08,2.48,-0.13,-6.25,-7.39,-12.45,-0.4,7.83,93.23
Kings,L.A,09-10,82,3971.18,51.8,51.44,51.05,50.67,51.73,2.24,2.09,27.85,26.29,39.79,38.15,51.48,50.12,2.19,2.04,0.16,1.56,1.63,1.36,0.15,8.05,92.06
Wild,MIN,09-10,82,3931.42,47.02,47.14,47.74,47.35,50.23,2.15,2.43,26.09,29.25,37.05,40.55,48.73,54.17,2,1.99,-0.27,-3.17,-3.51,-5.45,0.02,8.26,91.7
Canadiens,MTL,09-10,82,4036.3,49.09,46.6,46.91,47.04,46.83,2.08,2.16,27.01,30.95,38.07,43.09,52.58,59.19,2.09,2.37,-0.08,-3.94,-5.02,-6.61,-0.28,7.7,93.03
Devils,N.J,09-10,82,4093.77,52.04,51.94,52.12,51.27,51.52,2.13,1.96,28.99,26.82,38.91,35.73,50.1,47.62,2.14,2.01,0.17,2.17,3.17,2.48,0.13,7.34,92.69
Predators,NSH,09-10,82,4059.1,51.35,50.8,51.59,51.56,50.39,2.3,2.18,29.63,28.69,41.77,39.2,54.7,51.39,2.27,2.24,0.12,0.94,2.58,3.31,0.03,7.77,92.4
Islanders,NYI,09-10,81,3890.58,46.46,48.44,48.27,47.28,48.91,2.3,2.65,29.37,31.27,40.4,43.29,54.21,60.45,2.53,2.64,-0.35,-1.89,-2.89,-6.23,-0.11,7.83,91.53
Rangers,NYR,09-10,82,3921.12,50.39,49.71,49.85,50.14,48.99,2.29,2.25,29.18,29.52,40.71,40.96,55.09,54.79,2.64,2.75,0.04,-0.34,-0.25,0.3,-0.11,7.85,92.37
Senators,OTT,09-10,82,3945.13,46.93,52.08,51.97,51.46,52.56,2.27,2.57,29.09,26.77,40.12,37.08,54.15,51.06,2.38,2.14,-0.3,2.32,3.04,3.08,0.23,7.81,90.41
Flyers,PHI,09-10,82,3854.13,50.15,51.81,52.05,51.31,53.21,2.33,2.32,30.9,28.74,43,39.6,57.39,54.45,2.69,2.37,0.01,2.16,3.39,2.93,0.33,7.54,91.94
Penguins,PIT,09-10,81,3822.28,52.11,53.57,52.88,52.29,53.31,2.74,2.52,32.2,27.91,44.77,39.9,59.05,53.89,2.54,2.23,0.22,4.29,4.88,5.16,0.32,8.52,90.97
Sharks,S.J,09-10,81,3889.45,54.5,50.28,50.76,51.57,51.77,2.63,2.2,30.35,30.01,42.85,41.57,57.38,53.88,2.53,2.36,0.43,0.34,1.28,3.5,0.17,8.67,92.68
Blues,STL,09-10,82,3852.92,50.02,50.28,50.32,50.76,48.99,2.36,2.36,29.36,29.04,41.12,40.59,53.94,52.33,2.3,2.4,0,0.32,0.53,1.61,-0.09,8.05,91.87
Lightning,T.B,09-10,82,3879.98,45.4,47.38,47.26,46.94,47.93,2.17,2.61,27.48,30.53,37.72,42.09,49.2,55.61,2.19,2.38,-0.44,-3.04,-4.37,-6.41,-0.19,7.89,91.46
Maple Leafs,TOR,09-10,82,3966.15,47.53,51.88,51.86,51.72,52.66,2.34,2.58,31.62,29.33,44.83,41.62,61.2,57.13,2.55,2.29,-0.24,2.3,3.21,4.07,0.26,7.39,91.2
Canucks,VAN,09-10,82,3884.75,55.77,51.23,51.48,52.02,50.81,2.75,2.18,30.05,28.6,41.7,39.31,54.92,50.64,2.32,2.25,0.57,1.44,2.39,4.28,0.07,9.14,92.39
Capitals,WSH,09-10,82,3963.48,59.87,52.45,52.47,53.9,52.26,3.24,2.17,32.34,29.33,44.63,40.43,62.74,53.66,2.59,2.37,1.07,3.02,4.2,9.08,0.22,10.02,92.59
Ducks,ANA,08-09,82,3799.63,52.63,50.2,50.55,51.13,51.04,2.39,2.15,28.55,28.31,40.18,39.3,50.57,48.34,2.23,2.14,0.24,0.23,0.88,2.23,0.09,8.39,92.39
Coyotes,ARI,08-09,81,3867.75,44.89,45.59,45.09,44.94,45.2,2.08,2.55,26.5,31.64,36.51,44.46,48.42,59.32,1.91,2.31,-0.47,-5.13,-7.95,-10.9,-0.4,7.84,91.93
Thrashers,ATL,08-09,82,3773.65,47.38,45.36,45.98,45.75,46.2,2.44,2.71,26.82,32.3,36.9,43.37,47.84,56.74,2.28,2.66,-0.27,-5.48,-6.46,-8.9,-0.38,9.11,91.59
Bruins,BOS,08-09,81,3889.17,59.25,50.43,51.33,51.68,51.21,2.64,1.81,29.68,29.18,40.86,38.73,54.33,50.8,2.32,2.21,0.82,0.5,2.12,3.53,0.11,8.89,93.78
Sabres,BUF,08-09,82,3840.05,50.38,50.27,49.82,49.59,50.85,2.43,2.39,30.47,30.14,40.73,41.03,52.96,53.84,2.13,2.06,0.04,0.33,-0.29,-0.88,0.07,7.98,92.06
Hurricanes,CAR,08-09,82,3835.7,51.41,52.77,52.48,52.17,51.2,2.32,2.19,32.24,28.85,45.25,40.97,60.22,55.21,2.52,2.4,0.13,3.39,4.28,5.01,0.12,7.2,92.4
Blue Jackets,CBJ,08-09,82,3880.12,53.5,52.02,51.99,51.66,51.88,2.5,2.18,28.4,26.19,38.4,35.46,50.19,46.97,2.06,1.91,0.33,2.21,2.94,3.22,0.15,8.82,91.69
Flames,CGY,08-09,81,3693.57,51.55,53.51,53.65,55.72,53.43,2.71,2.55,32.44,28.18,45.23,39.07,60.5,48.09,2.49,2.17,0.16,4.26,6.16,12.41,0.32,8.36,90.95
Blackhawks,CHI,08-09,82,3830.15,55.66,54.88,55.56,55.92,54.13,2.55,2.03,32.67,26.85,43.43,34.74,54.9,43.28,2.4,2.03,0.52,5.82,8.69,11.62,0.37,7.8,92.44
Avalanche,COL,08-09,82,3900.4,42.89,48.73,47.16,45.76,48.76,1.98,2.63,27.47,28.9,37.08,41.55,48.67,57.68,1.97,2.07,-0.66,-1.43,-4.47,-9.01,-0.1,7.19,90.89
Stars,DAL,08-09,82,3840.48,48.89,49.69,50.35,49.82,49.01,2.45,2.56,27.65,28,39.59,39.04,50.62,51,2.05,2.13,-0.11,-0.35,0.56,-0.38,-0.08,8.85,90.87
Red Wings,DET,08-09,81,3821.82,54.06,56.85,56.77,58.11,53.49,2.78,2.36,34.91,26.5,47.01,35.8,60.84,43.87,2.28,1.98,0.42,8.41,11.21,16.98,0.3,7.96,91.09
Oilers,EDM,08-09,82,3805.68,50.42,46.66,46.7,47.07,47.87,2.4,2.36,27.5,31.43,38.28,43.69,51.13,57.49,2.26,2.46,0.04,-3.94,-5.41,-6.36,-0.2,8.73,92.49
Panthers,FLA,08-09,82,3904.92,51.28,45.68,45.95,46.86,47.84,2.43,2.31,28.76,34.21,39.38,46.32,52.09,59.06,2.26,2.46,0.12,-5.44,-6.94,-6.97,-0.2,8.46,93.24
Kings,L.A,08-09,82,3769.95,45.54,50.06,50.62,50.56,51.4,1.89,2.26,27.86,27.8,40.51,39.51,53.06,51.9,2.22,2.1,-0.37,0.06,1,1.17,0.12,6.8,91.86
Wild,MIN,08-09,82,3901.67,46.65,46.8,47.31,47.25,47.32,1.97,2.25,26.11,29.67,36.71,40.89,48.2,53.81,1.78,1.98,-0.28,-3.57,-4.18,-5.62,-0.2,7.55,92.4
Canadiens,MTL,08-09,82,3794.8,49.82,47.7,47.53,47.87,47.98,2.42,2.44,28.82,31.6,39.3,43.39,54.15,58.96,2.32,2.52,-0.02,-2.78,-4.09,-4.81,-0.2,8.41,92.28
Devils,N.J,08-09,82,3917.52,55.36,52.84,53.08,53.1,53.53,2.37,1.91,31.68,28.28,42.6,37.66,55.62,49.13,2.3,2,0.46,3.4,4.94,6.49,0.3,7.49,93.23
Predators,NSH,08-09,82,3863.32,48.73,48.81,48.78,48.91,47.33,2.15,2.26,28.22,29.6,39.06,41.01,50.45,52.7,2.13,2.37,-0.11,-1.38,-1.95,-2.25,-0.24,7.61,92.36
Islanders,NYI,08-09,82,3816.1,40.83,45.95,45.01,45.07,45.59,1.93,2.8,28.14,33.09,37.91,46.31,52.6,64.09,2.22,2.65,-0.87,-4.96,-8.4,-11.49,-0.43,6.86,91.54
Rangers,NYR,08-09,82,3853.03,46.98,52.47,52.59,53.05,50.27,2.07,2.34,32,28.99,44.43,40.05,58.73,51.98,2.72,2.69,-0.27,3.01,4.37,6.75,0.03,6.48,91.92
Senators,OTT,08-09,82,3830.87,47.37,49.75,49.46,49.06,49.39,2.06,2.29,27.88,28.16,37.91,38.74,50.59,52.52,2.09,2.14,-0.23,-0.28,-0.83,-1.93,-0.05,7.39,91.87
Flyers,PHI,08-09,82,3829.57,49.28,48.55,48.36,47.84,48.74,2.47,2.54,29.81,31.59,40.59,43.34,53.84,58.71,2.37,2.49,-0.07,-1.78,-2.75,-4.87,-0.12,8.28,91.96
Penguins,PIT,08-09,82,3820.05,54.21,49.04,49.12,48.17,50.65,2.79,2.36,28.13,29.23,38.99,40.39,51.93,55.88,2.19,2.14,0.43,-1.1,-1.39,-3.95,0.06,9.93,91.93
Sharks,S.J,08-09,82,3910.17,51.71,55.21,55.1,54.77,54.43,2.15,2.01,31.68,25.7,43.18,35.19,56.49,46.64,2.43,2.03,0.14,5.98,7.99,9.85,0.4,6.8,92.18
Blues,STL,08-09,82,3780.63,48.15,49.15,49.16,48.08,49.83,2.18,2.35,26.92,27.85,38.07,39.37,48.35,52.21,2.09,2.11,-0.17,-0.93,-1.3,-3.87,-0.01,8.11,91.56
Lightning,T.B,08-09,82,3769.67,45.35,46.43,46.64,46.62,47.91,2.09,2.52,27.4,31.62,37.23,42.58,48.81,55.88,2.04,2.22,-0.43,-4.22,-5.36,-7.07,-0.18,7.64,92.02
Maple Leafs,TOR,08-09,81,3901.4,47.29,50.06,49.47,49.16,48.82,2.58,2.87,29.91,29.85,42.57,43.49,56.84,58.78,2.31,2.43,-0.3,0.07,-0.92,-1.94,-0.11,8.62,90.37
Canucks,VAN,08-09,81,3705.7,55.87,49.22,49.19,49.67,49.73,2.49,1.97,27.49,28.36,38.24,39.5,50.42,51.09,2.23,2.25,0.52,-0.87,-1.26,-0.67,-0.02,9.07,93.06
Capitals,WSH,08-09,82,3831.18,52.6,54.85,55.24,55.6,55.21,2.51,2.26,33.2,27.33,46.19,37.42,63.25,50.5,2.69,2.18,0.25,5.87,8.77,12.75,0.51,7.55,91.73
Ducks,ANA,07-08,82,3747.72,54.21,50.12,50.78,51.38,48.9,1.9,1.61,26.2,26.07,36.56,35.45,46.41,43.92,1.91,2,0.29,0.13,1.12,2.49,-0.09,7.25,93.84
Coyotes,ARI,07-08,82,3860.7,47.68,49.45,48.72,48.59,47.3,1.95,2.14,30.1,30.76,40.72,42.86,51.98,54.99,2.1,2.34,-0.19,-0.67,-2.14,-3.01,-0.24,6.47,93.06
Thrashers,ATL,07-08,82,3879.47,41.77,41.58,41.71,41.86,43.15,1.95,2.72,24.07,33.81,32.02,44.76,41.82,58.08,1.85,2.44,-0.77,-9.74,-12.73,-16.26,-0.59,8.1,91.96
Bruins,BOS,07-08,81,3841.8,50.61,49.71,50.64,51.43,48.52,2.01,1.96,28.37,28.7,39.31,38.32,51.6,48.72,1.97,2.09,0.05,-0.33,0.99,2.88,-0.12,7.08,93.17
Sabres,BUF,07-08,81,3760.13,51.04,50.72,49.94,49.17,50.25,2.61,2.51,29.03,28.21,38.57,38.65,49.85,51.53,2.12,2.1,0.11,0.82,-0.09,-1.68,0.02,9,91.11
Hurricanes,CAR,07-08,82,3689.98,50.8,53.1,52.3,52.15,51.32,2.51,2.43,32.14,28.39,43.86,40.01,58.29,53.47,2.51,2.38,0.08,3.75,3.86,4.81,0.13,7.8,91.44
Blue Jackets,CBJ,07-08,82,3760.85,47.09,51.94,52.46,52.14,53.57,1.91,2.15,28.5,26.38,38.23,34.64,49.24,45.2,2.02,1.75,-0.24,2.12,3.59,4.04,0.27,6.72,91.84
Flames,CGY,07-08,82,3749.43,52.41,50.36,51.13,52.78,53.01,2.4,2.18,27.74,27.34,39.22,37.48,51.6,46.16,2.25,1.99,0.22,0.4,1.74,5.44,0.26,8.66,92.02
Blackhawks,CHI,07-08,81,3660,51.25,49.79,50.1,50.13,49.03,2.44,2.32,27.93,28.17,35.91,35.77,45.95,45.71,2.1,2.18,0.12,-0.24,0.14,0.24,-0.08,8.75,91.75
Avalanche,COL,07-08,82,3875.07,52.93,50.72,49.33,47.9,52.71,2.45,2.18,27.88,27.08,36.77,37.76,46.9,51.01,2.24,2.01,0.27,0.79,-0.99,-4.11,0.23,8.8,91.94
Stars,DAL,07-08,82,3764.03,51.77,50.81,50.77,52,50.66,2.3,2.14,26.23,25.4,36.71,35.6,48.65,44.91,1.95,1.9,0.16,0.83,1.11,3.74,0.05,8.77,91.56
Red Wings,DET,07-08,82,3755.38,58.16,59.53,59.71,59.68,56.76,2.4,1.72,33.34,22.66,46.11,31.12,58.17,39.3,2.33,1.78,0.67,10.67,14.99,18.87,0.56,7.19,92.39
Oilers,EDM,07-08,82,3819.52,46.98,46.22,46.1,45.87,47.6,2.31,2.61,26.24,30.53,36.86,43.1,48.37,57.08,2.15,2.37,-0.3,-4.29,-6.23,-8.72,-0.22,8.8,91.46
Panthers,FLA,07-08,82,3840.07,49.32,47.81,47.94,48.75,47.11,2.14,2.2,30.01,32.76,40.66,44.14,52.54,55.24,2.08,2.33,-0.06,-2.75,-3.49,-2.7,-0.25,7.14,93.28
Kings,L.A,07-08,82,3808.77,43.8,45.02,44.56,44.83,44.87,2.21,2.84,26.54,32.42,36.98,46.01,48.21,59.32,2.15,2.64,-0.63,-5.88,-9.03,-11.11,-0.49,8.33,91.25
Wild,MIN,07-08,81,3814.23,50.13,46.72,47.75,48.71,47.54,2.25,2.24,25.64,29.25,36.71,40.18,48.54,51.12,1.75,1.93,0.01,-3.6,-3.47,-2.58,-0.18,8.76,92.35
Canadiens,MTL,07-08,82,3797.75,50.74,47.36,47.26,46.92,47.4,2.33,2.26,27.46,30.53,38.3,42.73,52.02,58.85,2.11,2.34,0.07,-3.06,-4.43,-6.83,-0.23,8.48,92.6
Devils,N.J,07-08,82,3881.17,52.09,51.44,52.05,52.47,52.24,2.06,1.89,27.42,25.89,38.03,35.03,49.89,45.19,2.1,1.92,0.17,1.53,2.99,4.7,0.18,7.5,92.69
Predators,NSH,07-08,82,3780.92,49.83,49.33,50.21,50.64,51.31,2.44,2.45,29.34,30.14,40.22,39.89,51.69,50.39,2.36,2.24,-0.02,-0.8,0.34,1.31,0.12,8.3,91.86
Islanders,NYI,07-08,82,3766.78,46.38,50.12,49.32,49.51,50.08,1.96,2.26,29.3,29.16,39.56,40.66,53.21,54.25,2.39,2.38,-0.3,0.14,-1.1,-1.04,0.01,6.67,92.25
Rangers,NYR,07-08,82,3834.03,52.66,55.17,55.44,54.49,52.1,2.11,1.9,30.44,24.73,42.38,34.06,54.64,45.63,2.39,2.2,0.21,5.71,8.32,9.01,0.19,6.93,92.33
Senators,OTT,07-08,82,3773.65,52.47,50.94,50.74,51.61,50.06,2.7,2.45,29.92,28.81,40.6,39.42,54.45,51.05,2.32,2.32,0.25,1.11,1.18,3.4,0.01,9.03,91.51
Flyers,PHI,07-08,82,3717.18,48.03,46.53,46.92,46.63,48.64,2.19,2.37,27.68,31.81,37.96,42.95,50.04,57.27,2.22,2.34,-0.18,-4.13,-4.99,-7.23,-0.12,7.93,92.54
Penguins,PIT,07-08,82,3713.33,54.07,46.97,46.67,45.89,50.85,2.34,1.99,26.82,30.27,37.22,42.54,47.73,56.28,2.18,2.11,0.35,-3.46,-5.32,-8.55,0.07,8.73,93.43
Sharks,S.J,07-08,82,3830,52.22,55.83,55.75,54.62,56.63,2.12,1.94,28.74,22.74,40.16,31.88,52.06,43.25,2.35,1.8,0.18,6,8.28,8.81,0.55,7.37,91.47
Blues,STL,07-08,82,3797.9,48.65,49.64,48.55,47.5,47.31,2.23,2.36,26.52,26.91,36.39,38.56,45.58,50.38,1.95,2.17,-0.12,-0.39,-2.18,-4.8,-0.22,8.42,91.24
Lightning,T.B,07-08,82,3921.03,43.92,50.19,49.94,49.36,49.7,2.16,2.75,27.65,27.45,37.89,37.99,49.78,51.07,2.03,2.06,-0.6,0.2,-0.1,-1.29,-0.02,7.79,89.97
Maple Leafs,TOR,07-08,82,3767.62,49.38,51.66,51.37,51.18,49.72,2.45,2.51,30.07,28.14,42.37,40.12,55.51,52.95,2.3,2.32,-0.06,1.93,2.25,2.56,-0.03,8.14,91.09
Canucks,VAN,07-08,82,3775.43,49.79,48.16,48.07,47.79,47.79,2.07,2.08,25.86,27.84,36.5,39.44,47.1,51.45,1.93,2.11,-0.02,-1.98,-2.94,-4.35,-0.18,7.99,92.52
Capitals,WSH,07-08,82,3805.92,53.37,54.73,55.5,55.92,55.11,2.51,2.19,31.22,25.83,43.83,35.15,59.01,46.52,2.41,1.97,0.32,5.4,8.68,12.49,0.45,8.04,91.51
